1	636	1.34019
1	818	3.97304
1	821	2.10964
1	852	2.22582
1	861	3.86197
1	930	3.58728
1	967	0
2	130	0.000298235
2	690	3.46328
2	808	4.40762
2	902	2.68133
2	960	3.26751
2	974	3.31341
2	998	0
3	87	1.91227
3	197	1.46186
3	667	2.17587
3	840	2.89387
3	908	2.14414
3	935	5.88657
3	969	0
4	146	0.96363
4	404	0.800341
4	405	1.05215
4	626	2.57782
4	833	4.89541
4	994	5.72199
4	999	0
5	438	0.458338
5	486	2.30255
5	565	2.28663
5	606	1.95194
5	706	3.19877
5	839	5.60206
5	924	0
6	67	1.9983
6	239	1.43939
6	386	1.2814
6	673	2.80582
6	805	5.61215
6	932	5.0139
6	947	0
7	66	0.181548
7	580	2.32567
7	887	2.58962
7	941	4.41672
7	969	4.66201
7	977	3.84118
7	993	0
8	64	3.21816
8	92	1.87843
8	237	2.62434
8	263	2.60498
8	348	1.83359
8	454	2.94863
8	851	0
9	252	2.97825
9	468	1.2278
9	843	3.99407
9	856	2.83494
9	910	2.70007
9	918	2.49731
9	930	0
10	588	2.56492
10	785	1.60224
10	823	3.4225
10	895	2.5223
10	897	2.45903
10	911	4.27959
10	999	0
11	15	0.967315
11	27	0.000294211
11	539	2.65218
11	835	3.02004
11	887	4.55478
11	979	4.71782
11	985	0
12	49	0.774657
12	581	4.07398
12	650	4.10271
12	767	2.20804
12	773	4.04899
12	926	2.22236
12	931	0
13	358	2.15014
13	512	0.980773
13	580	1.1834
13	706	2.91273
13	853	3.22184
13	937	5.5038
13	990	0
14	302	0.383553
14	426	1.27097
14	736	3.04662
14	838	2.88967
14	880	2.43687
14	977	5.8295
14	980	0
15	11	1.68147
15	176	2.1963
15	280	2.27657
15	619	2.6872
15	663	2.44525
15	761	4.6185
15	970	0
16	36	2.80674
16	100	1.46493
16	547	3.51124
16	610	2.23844
16	659	1.43541
16	669	4.1196
16	907	0
17	158	2.31208
17	275	0.650449
17	295	2.09703
17	484	3.15637
17	709	5.46961
17	987	4.20295
17	991	0
18	672	0.989856
18	702	1.20323
18	776	3.10162
18	878	2.89093
18	891	3.96563
18	959	4.60599
18	966	0
19	318	0.00117539
19	639	0.289874
19	708	2.72852
19	755	5.22283
19	966	4.39441
19	994	4.57464
19	1000	0
20	265	1.88325
20	295	2.33092
20	786	0.96944
20	831	2.64477
20	884	3.69301
20	954	5.04724
20	957	0
21	561	2.32916
21	614	2.02174
21	903	2.35582
21	925	3.52911
21	994	3.60129
21	999	3.70934
21	1000	0
22	175	2.67089
22	412	1.22019
22	511	0.745693
22	622	3.76408
22	732	4.6262
22	941	4.92027
22	985	0
23	682	1.90403
23	801	2.75303
23	871	3.08777
23	887	2.71581
23	920	3.41977
23	923	4.27903
23	980	0
24	249	0.815675
24	757	2.75395
24	844	3.22053
24	849	2.52564
24	914	3.48564
24	939	3.24866
24	943	0
25	114	1.53451
25	320	2.17397
25	454	1.91741
25	460	1.45395
25	618	4.09938
25	974	6.33005
25	977	0
26	248	2.1106
26	465	2.65318
26	730	1.94774
26	879	4.49447
26	934	2.79265
26	957	3.76123
26	995	0
27	11	1.87636
27	344	1.32072
27	497	3.06997
27	650	3.1778
27	729	3.01406
27	813	5.09686
27	1000	0
28	501	1.16363
28	699	3.00152
28	833	5.05405
28	946	2.28233
28	964	2.84497
28	989	2.9702
28	993	0
29	198	1.93804
29	209	2.00003
29	455	1.303
29	606	3.76019
29	851	2.42411
29	862	4.83778
29	988	0
30	331	2.18884
30	652	2.64975
30	669	2.29375
30	689	1.9265
30	715	2.77909
30	726	4.77735
30	917	0
31	64	0.548845
31	217	1.8995
31	514	3.4355
31	604	2.06567
31	773	3.38775
31	840	6.36137
31	999	0
32	51	1.75812
32	81	0.974349
32	354	2.09527
32	851	2.7602
32	898	3.78638
32	919	4.40466
32	978	0
33	152	0.48763
33	474	1.04318
33	519	1.54257
33	831	3.05912
33	909	3.85212
33	959	4.65843
33	978	0
34	581	2.36052
34	753	3.58445
34	892	3.36903
34	910	2.75055
34	949	2.75525
34	954	3.93127
34	992	0
35	171	0.923096
35	175	2.05677
35	330	0.92571
35	499	4.42911
35	764	3.35204
35	904	4.06007
35	958	0
36	16	0.245198
36	48	2.30201
36	475	1.22874
36	521	2.51746
36	544	4.44057
36	822	4.84288
36	987	0
37	438	1.96901
37	645	3.22022
37	659	2.73848
37	665	1.92983
37	668	2.45017
37	755	4.88095
37	864	0
38	273	0.389054
38	488	3.22993
38	717	2.85394
38	913	5.96542
38	941	2.75602
38	972	3.26225
38	982	0
39	344	1.15471
